group,sector,n_stocks,n_with_data,median_rs_rating,price_trend_annualised,composite_score,rank,pct_halal,n_halal,n_questionable,n_haram
ELEC-SEMICONDUCTOR MEMORY,CHIPS,5,4,98.0,1.6517413591945664,2.554154566913123,1,1.0,5,0,0
COMPUTER-DATA STORAGE,COMPUTER,4,3,98.0,1.4198812928788935,2.3307750583391407,2,1.0,4,0,0
COMPUTER SFTWR-SECURITY,SOFTWARE,14,13,85.0,1.498019594584802,2.0817851775356195,3,1.0,14,0,0
COMMERCIAL SVCS-STAFFING,BUSINESS_PRODUCTS,6,4,88.0,1.2584293085834286,1.9257897715272922,4,1.0,6,0,0
OIL&GAS-REFINING/MARKETING,ENERGY,8,7,97.0,0.9611810830958809,1.863908494299519,5,0.75,6,2,0
COMPUTER-HARDWARE/PERIPHERAL,COMPUTER,10,9,89.0,1.0620857342265826,1.7615715570592303,6,1.0,10,0,0
STEEL-PIPE & TUBE,METALS,3,1,87.0,1.0216104192980595,1.6726889547424382,7,1.0,3,0,0
RETAIL/WHLSL-OFFICE SUPPLIES,RETAIL,3,1,85.0,1.0714447476328417,1.6708128130560125,8,1.0,3,0,0
COMMERCIAL SVCS-HEALTHCARE,BUSINESS_PRODUCTS,5,5,87.0,0.8677680208419002,1.524473525017718,9,1.0,5,0,0
ELEC-SEMICONDUCTOR EQUIPMENT,CHIPS,10,10,94.0,0.6639756548193422,1.5027421278413198,10,1.0,10,0,0
OFFICE EQUIPMENT/SUPPLIES,OFFICE,7,4,79.5,0.8773747362465912,1.3466499127019396,11,0.5714285714285714,4,3,0
MEDICAL-RESEARCH EQUIP/SVCS,MEDICAL,5,5,77.0,0.897801265067295,1.3039696667065002,12,1.0,5,0,0
TRANSPORTATION-SHIPPING,TRANSPORTATION,11,11,91.0,0.49659847145382197,1.266655383795381,13,0.9090909090909091,10,1,0
BANKS-FOREIGN,BANKS,10,10,86.5,0.6001115573538955,1.2541349850355696,14,0.0,0,0,10
MINING-IRON/MANGANESE/MISC,MINING,5,5,79.0,0.7940093694538213,1.2538618033243174,15,0.8,4,1,0
OIL&GAS-MACHINERY/EQUIP,ENERGY,6,4,89.5,0.4938963004988674,1.226636257822237,16,1.0,6,0,0
INSURANCE-ACC & HEALTH,INSURANCE,7,6,74.0,0.884646996949671,1.216464951322705,17,0.0,0,0,7
MEDICAL-MANAGED CARE,MEDICAL,6,6,74.0,0.884646996949671,1.216464951322705,17,0.6666666666666666,4,2,0
CHEMICALS-SYNTHETIC FIBERS,CHEMICAL,2,2,82.5,0.6478365050422413,1.200338895628707,19,1.0,2,0,0
ELEC-SEMICONDUCTOR MFG,CHIPS,15,15,84.5,0.5897578511270415,1.194272257750107,20,0.9333333333333333,14,1,0
STEEL-PRODUCERS,METALS,8,7,81.0,0.663542068027268,1.1780542188292098,21,0.75,6,2,0
MEDICAL-GENERIC DRUGS,MEDICAL,4,4,84.0,0.5587138335778168,1.1518917820269952,22,0.5,2,2,0
MEDICAL-SERVICES,MEDICAL,7,6,72.5,0.8074098623812285,1.1046370666955698,23,0.8571428571428571,6,1,0
ELECTRONIC-CONTRACT MFG,ELECTRONICS,5,5,86.0,0.44874236229766795,1.0958303683092487,24,1.0,5,0,0
STEEL-SPECIALTY ALLOYS,METALS,5,3,74.0,0.7335280545692657,1.070873364027998,25,0.8,4,1,0
