group,sector,n_stocks,n_with_data,median_rs_rating,price_trend_annualised,composite_score,rank,pct_halal,n_halal,n_questionable,n_haram
ELEC-SEMICONDUCTOR MEMORY,CHIPS,5,4,98.0,2.019240201482125,2.8400414092241646,1,1.0,5,0,0
COMPUTER-DATA STORAGE,COMPUTER,4,3,98.0,1.847892491734098,2.687421152280591,2,1.0,4,0,0
STEEL-PIPE & TUBE,METALS,3,1,91.0,1.3825126905927019,2.094004685121747,3,1.0,3,0,0
COMPUTER SFTWR-SECURITY,SOFTWARE,14,13,86.0,1.5239863521214785,2.092230004078103,4,1.0,14,0,0
COMMERCIAL SVCS-STAFFING,BUSINESS_PRODUCTS,6,4,94.5,1.1018955174826812,1.933507756220104,5,1.0,6,0,0
OIL&GAS-REFINING/MARKETING,ENERGY,8,7,96.0,0.8506638543571101,1.7480702572677007,6,1.0,8,0,0
ELEC-SEMICONDUCTOR EQUIPMENT,CHIPS,10,10,94.5,0.8475138589125368,1.7069287482497053,7,1.0,10,0,0
STEEL-SPECIALTY ALLOYS,METALS,5,3,88.0,0.9024508599289107,1.5897396410476232,8,1.0,5,0,0
COMPUTER-HARDWARE/PERIPHERAL,COMPUTER,10,9,81.0,1.0987780209424143,1.5857088548175842,9,1.0,10,0,0
RETAIL/WHLSL-OFFICE SUPPLIES,RETAIL,3,1,81.0,1.051320273576127,1.5434380032978465,10,1.0,3,0,0
MEDICAL-RESEARCH EQUIP/SVCS,MEDICAL,5,5,86.0,0.8056783859562592,1.4524295274801733,11,1.0,5,0,0
COMMERCIAL SVCS-HEALTHCARE,BUSINESS_PRODUCTS,5,5,88.0,0.684495983462074,1.3956061489957607,12,1.0,5,0,0
TELECOM-FIBER OPTICS,TELECOM,7,5,96.0,0.42520608874217547,1.3691129102317996,13,1.0,7,0,0
MINING-IRON/MANGANESE/MISC,MINING,5,5,80.0,0.833142769275992,1.3235490205847038,14,1.0,5,0,0
REIT-HOTEL/RESORT,FINANCE,6,6,80.5,0.7919979907900868,1.2996797593039053,15,0.0,0,6,0
ELECTRONIC-CONTRACT MFG,ELECTRONICS,5,5,78.0,0.8007423048575767,1.2435753759586188,16,1.0,5,0,0
INSURANCE-ACC & HEALTH,INSURANCE,7,6,71.5,0.9695838079093289,1.2278415750062275,17,0.0,0,0,7
MEDICAL-MANAGED CARE,MEDICAL,6,6,71.5,0.9695838079093289,1.2278415750062275,17,0.8333333333333334,5,1,0
TRANSPORTATION-SHIPPING,TRANSPORTATION,11,11,89.0,0.446011242190467,1.2087437992395125,19,1.0,11,0,0
MEDICAL-SERVICES,MEDICAL,7,6,76.0,0.7934675923967096,1.1859813635161243,20,1.0,7,0,0
CHEMICALS-SYNTHETIC FIBERS,CHEMICAL,2,2,84.5,0.5439058986589415,1.1809316792032718,21,0.5,1,1,0
ELEC-SEMICONDUCTOR MFG,CHIPS,15,15,73.0,0.83018128100172,1.142010843652069,22,1.0,15,0,0
OIL&GAS-MACHINERY/EQUIP,ENERGY,6,4,87.0,0.3888485268856139,1.106714294641054,23,1.0,6,0,0
RETAIL-CONVENIENCE STORES,RETAIL,3,2,76.0,0.595440687758105,1.0095978150454255,24,1.0,3,0,0
MACHINERY-THERMAL PROCESSING,MACHINERY,5,4,77.0,0.5395932751580236,0.9854114419352964,25,1.0,5,0,0
MEDICAL-GENERIC DRUGS,MEDICAL,4,4,82.0,0.3664864619513461,0.9590103175122913,26,1.0,4,0,0
FINANCE-CONSUMER LOANS,FINANCE,7,5,61.0,0.9180041806854072,0.9135487976998465,27,0.0,0,0,7
OFFICE EQUIPMENT/SUPPLIES,OFFICE,7,4,73.0,0.5562710040434398,0.8980375981950233,28,1.0,7,0,0
TRANSPORTATION-SVCS/LOGISTICS,TRANSPORTATION,11,11,76.0,0.44995516012134923,0.8800131322845945,29,1.0,11,0,0
ELECTRONIC-PARTS DISTRIBUTORS,ELECTRONICS,5,5,71.0,0.5871145617241018,0.8743957184760985,30,1.0,5,0,0
SAVINGS & LOAN,BANKS,4,3,73.0,0.525922877050942,0.8710063706042819,31,0.0,0,0,4
HOUSEHOLD-HOUSEWARES,HOUSEHOLD,5,5,72.0,0.5236990352746055,0.843468388734717,32,0.8,4,1,0
BANKS-FOREIGN,BANKS,10,10,73.5,0.48061695229227913,0.8434307556508142,33,0.0,0,0,10
MEDIA-RADIO/TV,MEDIA,7,6,66.0,0.6577709396135786,0.8095437308202471,34,0.0,0,7,0
ELECTRONIC-SCIENTIFIC INSTR,ELECTRONICS,8,8,78.5,0.29041642320658434,0.8018041735113767,35,1.0,8,0,0
OIL&GAS-INTL E&P,ENERGY,7,5,82.0,0.18890448847418315,0.8008371708709571,36,1.0,7,0,0
COMPUTER SFTWR-ENTERPRISE,SOFTWARE,32,30,69.5,0.5255057324052619,0.7811846354927878,37,0.96875,31,1,0
TRANSPORTATION-AIR FREIGHT,TRANSPORTATION,6,4,78.0,0.2560842571690339,0.7584457450645146,38,1.0,6,0,0
AEROSPACE-DEFENSE EQUIPMENT,AEROSPACE,7,6,76.0,0.2968414176145612,0.7436339606146494,39,0.0,0,7,0
MEDICAL-SUPPLIES,MEDICAL,10,7,71.0,0.41106484138756516,0.7175873573248586,40,1.0,10,0,0
TRANSPORTATION-TRUCKING,TRANSPORTATION,8,8,71.0,0.40248091718812523,0.7099416133646435,41,1.0,8,0,0
COMPUTER-NETWORKING,COMPUTER,7,6,69.5,0.44389869877940213,0.7084968449253101,42,1.0,7,0,0
INTERNET-NETWORK SOLUTIONS,INTERNET,10,10,64.5,0.5802250823962071,0.7021374578553043,43,1.0,10,0,0
BANKS-NORTHEAST,BANKS,4,4,67.5,0.4811820187698971,0.6905908935116281,44,0.0,0,0,4
METAL ORES-NON-FERROUS,METALS,5,5,88.0,-0.10763654585098201,0.6900497669764014,45,1.0,5,0,0
BANKS-SUPER REGIONAL,BANKS,5,5,68.0,0.4410244609911451,0.66760095462275,46,0.0,0,0,5
INTERNET-SERVICES,INTERNET,10,10,67.0,0.4488397605467235,0.6490048858480424,47,1.0,10,0,0
INSURANCE-LIFE,INSURANCE,8,7,63.0,0.5533073797335365,0.6398259338547921,48,0.0,0,0,8
COMPUTER SFTWR-DATABASE,SOFTWARE,5,4,53.0,0.8246649030318102,0.6259534795021515,49,1.0,5,0,0
METAL ORES-DIVERSIFIED,METALS,8,8,85.0,-0.10673072377903778,0.6141850023692201,50,1.0,8,0,0
ELECTRONIC-COMPONENTS/CONNECTORS,ELECTRONICS,8,8,65.5,0.45192790484193707,0.6134197189097643,51,1.0,8,0,0
COMPUTER SFTWR-HEALTHCARE,SOFTWARE,7,7,66.0,0.4249450718434326,0.602164572882017,52,1.0,7,0,0
CONSUMER PRODUCTS-COSMETICS,CONSUMER,6,5,70.0,0.3024998089428326,0.5953307482418768,53,1.0,6,0,0
TRANSPORTATION-RAIL,TRANSPORTATION,8,8,68.5,0.3129085503987343,0.5662660735896502,54,1.0,8,0,0
MEDICAL-BIOMED/BIOTECH,MEDICAL,23,20,74.5,0.11782435633366795,0.5458467817168405,55,1.0,23,0,0
STEEL-PRODUCERS,METALS,8,7,53.0,0.7186825749013649,0.5315544929354057,56,1.0,8,0,0
LEISURE-MOVIES & RELATED,LEISURE,7,7,85.0,-0.20262519037323265,0.5287713242255503,57,0.0,0,6,1
RETAIL-DEPARTMENT STORES,RETAIL,4,3,78.0,-0.04430557961446624,0.4908870240255615,58,0.5,2,2,0
COMMERCIAL SVCS-SECURITY/SAFETY,BUSINESS_PRODUCTS,4,4,62.0,0.4137972314275886,0.4900063562277167,59,1.0,4,0,0
MACHINERY-CONSTRUCTION/MINING,MACHINERY,7,6,68.0,0.23013182915760458,0.4797578389763678,60,1.0,7,0,0
RETAIL-INTERNET,RETAIL,9,9,63.0,0.37125225464000217,0.4776685288300685,61,1.0,9,0,0
ELEC-SEMICONDUCTOR FABLESS,CHIPS,14,14,47.0,0.8302469233768491,0.47758224311492825,62,1.0,14,0,0
OIL&GAS-US E&P,ENERGY,16,12,72.0,0.10744933300572754,0.47271270949988803,63,1.0,16,0,0
OIL&GAS-DRILLING,ENERGY,7,6,80.0,-0.12417234786970162,0.4708636863622828,64,1.0,7,0,0
OFFICE-AUTOMATION,OFFICE,3,3,51.0,0.6646047583359261,0.43227272298100333,65,1.0,3,0,0
RETAIL-HOME FURNISHINGS,RETAIL,9,9,57.5,0.4568316238741991,0.41332992628431936,66,0.8888888888888888,8,1,0
POLLUTION CONTROL,BUSINESS_PRODUCTS,5,3,68.0,0.1457561436930972,0.40460399645159767,67,1.0,5,0,0
RETAIL-DISCOUNT & VARIETY,RETAIL,8,7,72.0,0.01623169743704304,0.39146470800193883,68,1.0,8,0,0
MEDIA-PERIODICALS,MEDIA,2,1,59.0,0.3890857448322682,0.3913241274317807,69,1.0,2,0,0
MACHINERY-ELECTRIC UTILITY,MACHINERY,4,4,56.5,0.4166125843220942,0.3519494328592333,70,1.0,4,0,0
CHEMICALS-PLASTICS,CHEMICAL,4,4,67.5,0.0916612844729485,0.3436428389349361,71,1.0,4,0,0
TELECOM-CABLE/SATELLITE EQUIP,TELECOM,5,4,43.0,0.7929081572027364,0.34209563867712545,72,1.0,5,0,0
MEDICAL-OUTPATIENT/HOME CARE,MEDICAL,5,4,50.0,0.5418733367882849,0.2973980406945454,73,1.0,5,0,0
OIL&GAS-INTEGRATED,ENERGY,8,8,68.0,0.02460645242089397,0.2966953641285377,74,1.0,8,0,0
BANKS-MIDWEST,BANKS,7,6,57.0,0.3363855847346756,0.29326944294243557,75,0.0,0,0,7
METAL PROC & FABRICATION,METALS,8,7,47.0,0.5781704627265362,0.2530564863922283,76,1.0,8,0,0
MEDICAL-ETHICAL DRUGS,MEDICAL,13,13,57.0,0.25857444234285026,0.22396267156873706,77,1.0,13,0,0
COMMERCIAL SVCS-LEASING,BUSINESS_PRODUCTS,4,3,37.0,0.8247422066675079,0.21710721514124148,78,1.0,4,0,0
PAPER & PAPER PRODUCTS,BUSINESS_PRODUCTS,5,3,58.0,0.2011568255855809,0.19837770980938546,79,1.0,5,0,0
MEDICAL-NURSING HOMES,MEDICAL,4,4,58.0,0.1998043277110709,0.19717303322849097,80,1.0,4,0,0
BANKS-WEST/SOUTHWEST,BANKS,6,6,53.0,0.3213058637783314,0.17760908074300363,81,0.0,0,0,6
METAL ORES-SILVER,METALS,8,7,82.0,-0.5420204703896613,0.14979867614981457,82,1.0,8,0,0
TRANSPORTATION-AIRLINE,TRANSPORTATION,11,8,48.0,0.4267929304942061,0.14378096078881963,83,0.9090909090909091,10,1,0
RETAIL-CONSUMER ELECTRONICS,RETAIL,3,2,44.0,0.5366108961622134,0.13936758900611207,84,1.0,3,0,0
FINANCE-CREDIT CARD/PAYMENT,FINANCE,10,9,53.0,0.27642091605918345,0.13762983465988465,85,0.6,6,2,2
REIT-HEALTHCARE,FINANCE,7,6,50.5,0.305710176441125,0.09982493713798328,86,0.0,0,7,0
BUILDING-HEAVY CONSTRUCTION,BUILDING,7,7,49.0,0.34621122275705013,0.09756362803125976,87,1.0,7,0,0
COMPUTER SFTWR-FINANCIAL,SOFTWARE,10,10,58.5,0.062000997225059175,0.08720951913425568,88,1.0,10,0,0
REIT-INDUSTRIAL/OFFICE,FINANCE,12,11,50.0,0.2985006793588286,0.08062480477242617,89,0.0,0,12,0
RETAIL/WHLSL-COMPUTER/CELL,RETAIL,2,2,41.0,0.5475853209336118,0.07247097888032539,90,1.0,2,0,0
METAL ORES-GOLD,METALS,10,10,79.5,-0.5635647395191659,0.06671610116846904,91,1.0,10,0,0
MACHINERY-GENERAL INDUSTRIAL,MACHINERY,11,11,54.5,0.12866835374327384,0.04436168525457876,92,1.0,11,0,0
COMPUTER SFTWR-GAMING,SOFTWARE,8,4,40.0,0.5393772448241368,0.039602809739058886,93,0.0,0,8,0
CHEMICALS-FERTILIZERS,CHEMICAL,5,5,59.0,-0.012686015009660365,0.03346402349506708,94,0.8,4,1,0
LEISURE-HOTELS & MOTELS,LEISURE,7,6,49.5,0.2522447245523886,0.026645798388894068,95,0.0,0,7,0
OIL&GAS-TRANSPORT/PIPELINE,ENERGY,10,10,50.0,0.22418011255632342,0.014427106429854872,96,0.8,8,2,0
BANKS-SOUTHEAST,BANKS,5,3,48.0,0.277010111207655,0.010368658991132713,97,0.0,0,0,5
CONSUMER PRODUCTS-ELECTRONICS,CONSUMER,4,3,46.0,0.2919584080399256,-0.027431208590215445,98,1.0,4,0,0
HOUSEHOLD-APPLIANCES & WARES,HOUSEHOLD,5,5,54.0,0.022857932318718084,-0.06266278062625455,99,1.0,5,0,0
TELECOM-INFRASTRUCTURE,TELECOM,9,9,49.0,0.16493906706400538,-0.06389638225584292,100,1.0,9,0,0
UTILITY-WATER SUPPLY,UTILITY,9,8,49.5,0.13870447277936845,-0.07448506834121044,101,1.0,9,0,0
REIT-RETAIL,FINANCE,9,8,45.0,0.2589343539758665,-0.08240309267056246,102,0.0,0,9,0
COMMERCIAL SVCS-SCHOOLS,BUSINESS_PRODUCTS,4,4,44.5,0.2248707188785184,-0.12552233927395995,103,1.0,4,0,0
LEISURE-TRAVEL BOOKING,LEISURE,5,4,37.5,0.42475957851580287,-0.12638070283248268,104,1.0,5,0,0
COMMERCIAL SVCS-CONSULTING,BUSINESS_PRODUCTS,8,8,53.5,-0.07773723541078535,-0.16504199411278803,105,1.0,8,0,0
INTERNET-E-COMMERCE,INTERNET,12,12,47.0,0.09349900450505219,-0.17864279103468234,106,1.0,12,0,0
ELECTRONIC-MEASURING INSTR,ELECTRONICS,7,7,45.0,0.11669635413325029,-0.20909518627976809,107,1.0,7,0,0
OFFICE-OUTSOURCING SVCS,OFFICE,4,3,53.0,-0.11632473534997709,-0.21219066962162864,108,1.0,4,0,0
FINANCE-INVESTMENT MGMT,FINANCE,12,12,38.5,0.2925808005442835,-0.21855580256740262,109,0.16666666666666666,2,9,1
MEDIA-DIVERSIFIED,MEDIA,9,9,53.0,-0.14014535365531514,-0.23340781277260292,110,0.0,0,8,1
ENERGY-OTHER/ALTERNATIVE,ENERGY,6,6,21.0,0.7555800878616723,-0.2534109470185423,111,1.0,6,0,0
FINANCE-INVESTMENT BANKS/BROKERS,FINANCE,10,10,33.0,0.390871915005205,-0.27157199044208974,112,0.0,0,0,10
MEDICAL-PRODUCTS,MEDICAL,14,14,48.5,-0.06397378196592242,-0.2805687924198991,113,1.0,14,0,0
FOOD-DAIRY PRODUCTS,FOOD_BEVERAGE,3,2,47.0,-0.024600296209998117,-0.28383442532318715,114,1.0,3,0,0
AUTO/TRUCK-ORIGINAL EQUIPMENT,AUTO,9,9,41.0,0.13950269142135133,-0.29101024804682585,115,0.8888888888888888,8,1,0
INSURANCE-BROKERS,INSURANCE,8,7,39.0,0.18294636110126278,-0.30342914536539556,116,0.0,0,0,8
OIL&GAS-FIELD SERVICES,ENERGY,7,6,52.5,-0.2054558475265554,-0.304358791832558,117,1.0,7,0,0
CHEMICALS-AGRICULTURAL,CHEMICAL,4,4,49.5,-0.12433087119517473,-0.3087719569239055,118,1.0,4,0,0
TELECOM-WIRELESS SVCS,TELECOM,6,4,38.5,0.18738232658829213,-0.3122566063239587,119,1.0,6,0,0
BUILDING-CONSTRUCTION PRODUCTS,BUILDING,6,5,45.0,-0.01498894848919783,-0.3263879400112586,120,1.0,6,0,0
CHEMICALS-PAINTS,CHEMICAL,4,4,40.5,0.10791353391718395,-0.3319254651558828,121,1.0,4,0,0
AGRICULTURAL OPERATIONS,AGRICULTURE,6,6,43.0,0.011932140424787425,-0.35352358216157903,122,1.0,6,0,0
RETAIL/WHLSL-FOOD,RETAIL,7,7,42.0,0.0310339400025449,-0.3620667092546518,123,1.0,7,0,0
INSURANCE-PROP/CAS/TITLE,INSURANCE,12,12,39.5,0.06954164589876038,-0.3916606915266339,124,0.0,0,0,12
MEDIA-NEWSPAPERS,MEDIA,4,2,52.5,-0.3246123286382227,-0.41049206195619964,125,0.75,3,1,0
LEISURE-RESTAURANTS,LEISURE,16,16,46.5,-0.15498393996588125,-0.41274638250258394,126,0.1875,3,9,4
CONSUMER PRODUCTS-PERSONAL,CONSUMER,8,8,38.0,0.07398672444363899,-0.42603723038261104,127,1.0,8,0,0
LEISURE-PRODUCTS,LEISURE,8,7,43.0,-0.09674929496366734,-0.45032667698189555,128,1.0,8,0,0
ENERGY-COAL,ENERGY,6,4,50.0,-0.3087063242437193,-0.46021749212220864,129,1.0,6,0,0
REIT-RESIDENTIAL/COMMERCIAL,FINANCE,9,9,38.0,-0.022382437689448635,-0.5118737222027655,130,0.0,0,9,0
MACHINERY-TOOLS & RELATED,MACHINERY,6,6,34.5,0.06561565064032433,-0.5229435697385056,131,0.8333333333333334,5,1,0
RETAIL-RESTAURANTS,RETAIL,19,19,41.0,-0.13960291743911546,-0.5396110014582232,132,0.5263157894736842,10,5,4
CHEMICALS-SPECIALTY,CHEMICAL,8,8,37.0,-0.05135426445055147,-0.563236267278346,133,1.0,8,0,0
INSURANCE-DIVERSIFIED,INSURANCE,8,7,32.0,0.0861843729036286,-0.56851589391764,134,0.0,0,2,6
BUILDING-RESIDENTIAL/COMMERCIAL,BUILDING,11,10,41.0,-0.17397075262348827,-0.570222603119819,135,1.0,11,0,0
LEISURE-TOYS/GAMES/HOBBY,LEISURE,5,5,40.0,-0.16005902364973795,-0.5833885519027975,136,0.8,4,1,0
APPAREL-CLOTHING MFG,APPAREL,10,8,30.5,0.1065080981095093,-0.5887492432505004,137,1.0,10,0,0
RETAIL-APPAREL/SHOES/ACC,RETAIL,15,11,30.0,0.11217910717800059,-0.5964766447509219,138,1.0,15,0,0
CONSUMER PRODUCTS-SOAPS/CLEANERS,CONSUMER,4,4,36.0,-0.09795715178205579,-0.6303028856584334,139,1.0,4,0,0
CONSUMER SVCS-EDUCATION,CONSUMER,4,4,22.0,0.2959723494040967,-0.6372286497017893,140,1.0,4,0,0
UTILITY-GAS DISTRIBUTION,UTILITY,10,9,36.0,-0.10785757004756426,-0.639121237428368,141,1.0,10,0,0
CONSUMER SVCS-PERSONAL,CONSUMER,4,3,39.0,-0.22026463588968695,-0.6625711849860432,142,1.0,4,0,0
AUTO MANUFACTURERS,AUTO,9,8,39.5,-0.24705195242152053,-0.6736521835248985,143,0.7777777777777778,7,2,0
FINANCE-SERVICES,FINANCE,10,10,30.5,0.008245846242132917,-0.6762719195086567,144,0.6,6,4,0
LEISURE-GAMING/EQUIPMENT,LEISURE,12,11,28.0,0.06645709014969903,-0.6883158625159651,145,0.0,0,0,12
RETAIL/WHLSL-AUTO,RETAIL,12,12,37.5,-0.22934789731719427,-0.7089974835128193,146,0.75,9,3,0
BUILDING-WOOD PRODUCTS,BUILDING,5,4,29.0,-0.0019034567798067957,-0.7236477465835184,147,1.0,5,0,0
HOUSEHOLD-AUDIO/VIDEO,HOUSEHOLD,4,2,24.0,0.1397223878348325,-0.7252868773959918,148,1.0,4,0,0
COMMERCIAL SVCS-WASTE MGMT,BUSINESS_PRODUCTS,5,4,29.0,-0.00849348445448464,-0.7295175169962868,149,1.0,5,0,0
MEDICAL-SYSTEMS/EQUIPMENT,MEDICAL,10,8,42.0,-0.3817230573583455,-0.7297114188636303,150,1.0,10,0,0
MEDICAL-LONG-TERM CARE,MEDICAL,4,3,39.0,-0.30561156684664587,-0.7385901206995766,151,1.0,4,0,0
UTILITY-ELECTRIC POWER,UTILITY,19,17,28.0,-0.001269341987215608,-0.7486401323285438,152,0.9473684210526315,18,1,0
TOBACCO,ALCOHOL_TOBACCO,4,4,25.0,0.054520279162840794,-0.7756196242369611,153,0.0,0,0,4
BUILDING-MAINT & SVCS,BUILDING,5,5,30.0,-0.10897458922161846,-0.793459341620143,154,1.0,5,0,0
APPAREL-SHOES & RELATED,APPAREL,8,7,18.0,0.22345002007996287,-0.8040534287556581,155,1.0,8,0,0
FOOD-CONFECTIONERY,FOOD_BEVERAGE,3,3,36.0,-0.30940635526380583,-0.8186417424389234,156,1.0,3,0,0
FOOD-CANNED,FOOD_BEVERAGE,4,4,27.5,-0.07899024270458184,-0.8306451224658301,157,1.0,4,0,0
TELECOM-CONSUMER PRODUCTS,TELECOM,4,2,29.0,-0.12664893676082714,-0.8347591657863183,158,1.0,4,0,0
UTILITY-DIVERSIFIED,UTILITY,12,12,22.5,-0.009780195080104968,-0.8967853636792816,159,1.0,12,0,0
BEVERAGES-NON-ALCOHOLIC,FOOD_BEVERAGE,7,7,23.0,-0.04363666648595543,-0.9141628936093821,160,1.0,7,0,0
COMPUTER-TECH SERVICES,COMPUTER,6,5,28.0,-0.1886642116257303,-0.9155536743665158,161,1.0,6,0,0
RETAIL-SUPER/MINI MARKETS,RETAIL,6,6,20.5,0.00893078005480468,-0.9312337949899657,162,0.8333333333333334,5,1,0
COMPUTER SFTWR-DESIGN,SOFTWARE,9,7,20.0,0.015038338352065668,-0.9385723599219771,163,1.0,9,0,0
FOOD-MISC PREPARATION,FOOD_BEVERAGE,7,6,22.0,-0.06497592468650358,-0.9587270719220551,164,0.8571428571428571,6,1,0
INTERNET-CONTENT,INTERNET,10,10,14.5,0.0981291278216449,-1.005127552836276,165,0.0,0,10,0
BUILDING-CEMENT/CONCRETE,BUILDING,5,4,22.5,-0.13747945651034996,-1.010527730703904,166,1.0,5,0,0
REIT-MORTGAGE,FINANCE,7,7,22.0,-0.13154420158349692,-1.0180197671045599,167,0.0,0,0,7
MEDICAL-HOSPITALS,MEDICAL,6,5,30.0,-0.36954861198831596,-1.0255539191663234,168,1.0,6,0,0
MACHINERY-MATERIAL HANDLING,MACHINERY,7,4,21.5,-0.15245044209615277,-1.0494196569381664,169,0.8571428571428571,6,1,0
MACHINERY-FARM,MACHINERY,5,5,17.0,-0.08247794021729132,-1.1021021788849525,170,1.0,5,0,0
