group,sector,n_stocks,n_with_data,median_rs_rating,price_trend_annualised,composite_score,rank,pct_halal,n_halal,n_questionable,n_haram
ELEC-SEMICONDUCTOR MEMORY,CHIPS,5,4,98.0,1.9178091829365032,2.76374755871727,1,1.0,5,0,0
COMPUTER-DATA STORAGE,COMPUTER,4,3,98.0,1.7300632654311237,2.595798773657436,2,1.0,4,0,0
COMPUTER SFTWR-SECURITY,SOFTWARE,14,12,92.5,1.5380972703925198,2.283201378809883,3,1.0,14,0,0
COMMERCIAL SVCS-STAFFING,BUSINESS_PRODUCTS,6,4,94.5,1.1888840087714327,2.0220381370301137,4,1.0,6,0,0
STEEL-PIPE & TUBE,METALS,3,1,91.0,1.258116225113836,1.9943232767342434,5,1.0,3,0,0
OIL&GAS-REFINING/MARKETING,ENERGY,8,7,96.0,0.8692132895532891,1.7744955986764221,6,1.0,8,0,0
RETAIL/WHLSL-OFFICE SUPPLIES,RETAIL,3,1,86.0,1.0658334293398337,1.6942491706749634,7,1.0,3,0,0
ELEC-SEMICONDUCTOR EQUIPMENT,CHIPS,10,10,93.0,0.8036088638809524,1.6389688198338384,8,1.0,10,0,0
STEEL-SPECIALTY ALLOYS,METALS,5,2,89.5,0.8654546852683157,1.6046464333922366,9,1.0,5,0,0
COMMERCIAL SVCS-HEALTHCARE,BUSINESS_PRODUCTS,5,5,89.0,0.7582559176834814,1.4959447066686442,10,1.0,5,0,0
COMPUTER-HARDWARE/PERIPHERAL,COMPUTER,10,8,74.0,1.0924750107329593,1.410721076446462,11,1.0,10,0,0
MEDICAL-RESEARCH EQUIP/SVCS,MEDICAL,5,5,81.0,0.8470054643651588,1.3704289881326468,12,1.0,5,0,0
REIT-HOTEL/RESORT,FINANCE,6,6,80.5,0.8119917805544167,1.326300687454144,13,0.0,0,6,0
MINING-IRON/MANGANESE/MISC,MINING,5,5,78.0,0.8163344380436943,1.2661520071921708,14,1.0,5,0,0
TELECOM-FIBER OPTICS,TELECOM,7,5,95.0,0.3077548843209602,1.2466275969539722,15,1.0,7,0,0
COMPUTER SFTWR-ENTERPRISE,SOFTWARE,32,30,84.0,0.6149428537261045,1.239676650150082,16,0.96875,31,1,0
MEDICAL-SERVICES,MEDICAL,7,6,76.0,0.8090259805896898,1.2083874642205643,17,1.0,7,0,0
CHEMICALS-SYNTHETIC FIBERS,CHEMICAL,2,2,83.5,0.5898377425639669,1.2044120987350624,18,1.0,2,0,0
TRANSPORTATION-SHIPPING,TRANSPORTATION,11,11,88.0,0.4563299723700894,1.200242399445126,19,1.0,11,0,0
INSURANCE-ACC & HEALTH,INSURANCE,7,6,70.0,0.9554931438325982,1.1857299830514403,20,0.0,0,0,7
MEDICAL-MANAGED CARE,MEDICAL,6,6,70.0,0.9554931438325982,1.1857299830514403,20,1.0,6,0,0
OIL&GAS-MACHINERY/EQUIP,ENERGY,6,4,88.5,0.42555668062191715,1.1855207247702946,22,1.0,6,0,0
ELECTRONIC-CONTRACT MFG,ELECTRONICS,5,5,79.0,0.6855293315886377,1.174753197289705,23,1.0,5,0,0
COMPUTER SFTWR-DATABASE,SOFTWARE,5,4,66.5,0.9299865168873084,1.0732661501038145,24,1.0,5,0,0
BANKS-FOREIGN,BANKS,10,10,79.0,0.5337497899339426,1.038978262971284,25,0.0,0,0,10
OFFICE EQUIPMENT/SUPPLIES,OFFICE,7,4,73.0,0.702485888046539,1.036241537500262,26,1.0,7,0,0
SAVINGS & LOAN,BANKS,4,3,77.0,0.5289673297561422,0.9834733599388031,27,0.0,0,0,4
