group,sector,n_stocks,n_with_data,median_rs_rating,price_trend_annualised,composite_score,rank,pct_halal,n_halal,n_questionable,n_haram
ELEC-SEMICONDUCTOR MEMORY,CHIPS,5,4,98.0,2.1285753693974936,2.8642451524223747,1,1.0,5,0,0
COMPUTER-DATA STORAGE,COMPUTER,4,3,98.0,1.9704394810644823,2.730922911648478,2,1.0,4,0,0
STEEL-PIPE & TUBE,METALS,3,1,95.0,1.586710625738277,2.331711774388135,3,1.0,3,0,0
COMPUTER SFTWR-SECURITY,SOFTWARE,14,13,91.0,1.3471135021785465,2.0287846618723644,4,1.0,14,0,0
COMPUTER-HARDWARE/PERIPHERAL,COMPUTER,10,7,84.0,1.3242415266878067,1.8328811071941948,5,1.0,10,0,0
STEEL-SPECIALTY ALLOYS,METALS,5,3,94.0,0.9896806143583818,1.8031323009489513,6,1.0,5,0,0
ELEC-SEMICONDUCTOR EQUIPMENT,CHIPS,10,10,95.5,0.9009994501757596,1.766213653992172,7,1.0,10,0,0
TELECOM-FIBER OPTICS,TELECOM,7,5,98.0,0.7610716438236211,1.7113211521712497,8,1.0,7,0,0
ELECTRONIC-CONTRACT MFG,ELECTRONICS,5,5,91.0,0.9511437099529274,1.6949478552195798,9,1.0,5,0,0
ELEC-SEMICONDUCTOR MFG,CHIPS,15,11,87.0,0.9927242243189078,1.6290778278407676,10,1.0,15,0,0
OIL&GAS-REFINING/MARKETING,ENERGY,8,7,91.0,0.7831004993716724,1.5532728842961334,11,1.0,8,0,0
COMMERCIAL SVCS-STAFFING,BUSINESS_PRODUCTS,6,4,88.5,0.8134265621373902,1.5157616300708878,12,1.0,6,0,0
RETAIL/WHLSL-OFFICE SUPPLIES,RETAIL,3,1,79.0,0.9969977403472081,1.4308287720359993,13,1.0,3,0,0
INSURANCE-ACC & HEALTH,INSURANCE,7,5,74.0,1.0839569954375214,1.3779854507269675,14,0.0,0,0,7
MEDICAL-MANAGED CARE,MEDICAL,6,5,74.0,1.0839569954375214,1.3779854507269675,14,1.0,6,0,0
REIT-HOTEL/RESORT,FINANCE,6,6,82.0,0.7891534301340316,1.3312925291612956,16,0.0,0,6,0
MEDICAL-SERVICES,MEDICAL,7,5,81.0,0.6581102047645034,1.1955802482160713,17,1.0,7,0,0
CHEMICALS-SYNTHETIC FIBERS,CHEMICAL,2,2,88.0,0.43264900931782085,1.1821174461685438,18,1.0,2,0,0
MACHINERY-THERMAL PROCESSING,MACHINERY,5,4,88.0,0.42958098522393584,1.1795308363151011,19,1.0,5,0,0
ELECTRONIC-PARTS DISTRIBUTORS,ELECTRONICS,5,5,82.0,0.5716274173357401,1.147899273154743,20,1.0,5,0,0
MINING-IRON/MANGANESE/MISC,MINING,5,5,74.0,0.8026886321327344,1.1408518762430244,21,1.0,5,0,0
TRANSPORTATION-SHIPPING,TRANSPORTATION,11,11,84.0,0.4838104790952579,1.1243249934483077,22,1.0,11,0,0
STEEL-PRODUCERS,METALS,8,7,76.0,0.6719239201290581,1.0810689060570347,23,1.0,8,0,0
ELEC-SEMICONDUCTOR FABLESS,CHIPS,14,13,65.0,0.9793553358671623,1.0627136986132952,24,1.0,14,0,0
AEROSPACE-DEFENSE EQUIPMENT,AEROSPACE,7,6,86.0,0.33327972689918844,1.0478775405983494,25,0.0,0,7,0
BANKS-FOREIGN,BANKS,10,9,85.0,0.35459514739643383,1.0406167849985866,26,0.0,0,0,10
SAVINGS & LOAN,BANKS,4,3,79.0,0.4962488760624369,1.0086541388443189,27,0.0,0,0,4
OIL&GAS-MACHINERY/EQUIP,ENERGY,6,3,83.0,0.34508731659053293,0.9821378607875078,28,1.0,6,0,0
MEDICAL-GENERIC DRUGS,MEDICAL,4,4,85.5,0.20655702203506093,0.9284235823680131,29,1.0,4,0,0
INTERNET-NETWORK SOLUTIONS,INTERNET,10,10,70.5,0.6235977377911993,0.9015525018482429,30,1.0,10,0,0
TRANSPORTATION-SVCS/LOGISTICS,TRANSPORTATION,11,11,75.0,0.45234631833086103,0.870714482993298,31,1.0,11,0,0
MEDICAL-RESEARCH EQUIP/SVCS,MEDICAL,5,5,70.0,0.600223519897921,0.8692302631079798,32,1.0,5,0,0
MEDICAL-NURSING HOMES,MEDICAL,4,4,84.0,0.15567829372035324,0.8476811608219502,33,1.0,4,0,0
METAL PROC & FABRICATION,METALS,8,6,70.0,0.55136461983852,0.8280379815434705,34,1.0,8,0,0
TRANSPORTATION-TRUCKING,TRANSPORTATION,8,8,72.0,0.4832152606154618,0.8210451732085358,35,1.0,8,0,0
INSURANCE-LIFE,INSURANCE,8,7,72.0,0.4748850111139415,0.814022051882594,36,0.0,0,0,8
RETAIL-CONVENIENCE STORES,RETAIL,3,2,63.0,0.7062792115719211,0.7820238907414996,37,1.0,3,0,0
COMMERCIAL SVCS-LEASING,BUSINESS_PRODUCTS,4,2,59.0,0.8205649547305036,0.7774506639864397,38,1.0,4,0,0
TRANSPORTATION-AIRLINE,TRANSPORTATION,11,8,76.0,0.2931724604555225,0.7617486440193452,39,1.0,11,0,0
TRANSPORTATION-AIR FREIGHT,TRANSPORTATION,6,3,79.0,0.19984949714565578,0.7587638085863306,40,1.0,6,0,0
COMMERCIAL SVCS-HEALTHCARE,BUSINESS_PRODUCTS,5,5,70.0,0.4258515174519755,0.7222195728757371,41,1.0,5,0,0
BANKS-NORTHEAST,BANKS,4,3,73.0,0.3290199390225282,0.7162766712207743,42,0.0,0,0,4
METAL ORES-NON-FERROUS,METALS,5,5,86.0,-0.09353535349794048,0.6880354863089104,43,1.0,5,0,0
BANKS-SUPER REGIONAL,BANKS,5,4,70.5,0.33858537878650596,0.6612624149405784,44,0.0,0,0,5
BUILDING-HEAVY CONSTRUCTION,BUILDING,7,7,64.0,0.5239203497181634,0.6535110867152797,45,1.0,7,0,0
COMPUTER SFTWR-DATABASE,SOFTWARE,5,4,63.0,0.545034982284081,0.6460810495108971,46,1.0,5,0,0
OIL&GAS-INTL E&P,ENERGY,7,5,71.0,0.2700798387279988,0.6161220653903241,47,1.0,7,0,0
MEDIA-RADIO/TV,MEDIA,7,5,54.0,0.7700125002215896,0.6086730696311091,48,0.0,0,7,0
RETAIL-HOME FURNISHINGS,RETAIL,9,8,70.5,0.2722820545604068,0.6053629739612696,49,1.0,9,0,0
TELECOM-INFRASTRUCTURE,TELECOM,9,7,64.0,0.4329845890784884,0.5768443698633194,50,1.0,9,0,0
TRANSPORTATION-RAIL,TRANSPORTATION,8,8,67.5,0.2802525925167282,0.5363883274349576,51,1.0,8,0,0
FINANCE-CONSUMER LOANS,FINANCE,7,4,52.0,0.7417333257365866,0.5343682780093094,52,0.0,0,0,7
MEDICAL-SUPPLIES,MEDICAL,10,7,67.0,0.27706404550281905,0.5210843563474782,53,1.0,10,0,0
RETAIL-DEPARTMENT STORES,RETAIL,4,3,82.0,-0.17570653870798048,0.5178320652838126,54,1.0,4,0,0
BANKS-WEST/SOUTHWEST,BANKS,6,5,68.0,0.23399709067426433,0.510006685876534,55,0.0,0,0,6
BANKS-SOUTHEAST,BANKS,5,1,67.0,0.2507107121161615,0.4988662153801866,56,0.0,0,0,5
METAL ORES-DIVERSIFIED,METALS,8,8,80.0,-0.1617941194054618,0.47909843897351273,57,1.0,8,0,0
HOUSEHOLD-HOUSEWARES,HOUSEHOLD,5,4,71.5,0.06949676345513037,0.4596289221365294,58,1.0,5,0,0
RETAIL-DISCOUNT & VARIETY,RETAIL,8,7,75.0,-0.05894381905659363,0.4396526442123345,59,1.0,8,0,0
MACHINERY-ELECTRIC UTILITY,MACHINERY,4,4,58.0,0.4469686393928897,0.43724513484774274,60,1.0,4,0,0
REIT-HEALTHCARE,FINANCE,7,4,62.0,0.3100575990951154,0.42274327785950927,61,0.0,0,7,0
MACHINERY-CONSTRUCTION/MINING,MACHINERY,7,6,63.5,0.26175814090436905,0.4198699041538733,62,1.0,7,0,0
CONSUMER PRODUCTS-COSMETICS,CONSUMER,6,5,70.0,0.06700573361407985,0.41968151843495755,63,1.0,6,0,0
