group,sector,n_stocks,n_with_data,median_rs_rating,price_trend_annualised,composite_score,rank,pct_halal,n_halal,n_questionable,n_haram
ELEC-SEMICONDUCTOR MEMORY,CHIPS,5,4,98.0,1.7887616858848967,2.686452565791903,1,1.0,5,0,0
COMPUTER-DATA STORAGE,COMPUTER,4,3,98.0,1.5748178493535763,2.483218791207937,2,1.0,4,0,0
COMMERCIAL SVCS-STAFFING,BUSINESS_PRODUCTS,6,3,93.0,1.2162477527877975,2.015709618778526,3,1.0,6,0,0
COMPUTER SFTWR-SECURITY,SOFTWARE,14,11,82.0,1.4261184142644734,1.935917989827117,4,1.0,14,0,0
STEEL-PIPE & TUBE,METALS,3,1,88.0,1.134296546951601,1.8109717521070756,5,1.0,3,0,0
OIL&GAS-REFINING/MARKETING,ENERGY,8,7,96.0,0.9011243761052812,1.7924948582786906,6,1.0,8,0,0
RETAIL/WHLSL-OFFICE SUPPLIES,RETAIL,3,1,87.0,1.0730285741726175,1.7273930334306493,7,1.0,3,0,0
COMPUTER-HARDWARE/PERIPHERAL,COMPUTER,10,9,86.0,1.0777061201347884,1.7064585905041367,8,1.0,10,0,0
ELEC-SEMICONDUCTOR EQUIPMENT,CHIPS,10,8,93.0,0.7612267080782967,1.5834669987958117,9,1.0,10,0,0
COMMERCIAL SVCS-HEALTHCARE,BUSINESS_PRODUCTS,5,4,83.5,0.7917852885306428,1.371406424973917,10,1.0,5,0,0
STEEL-SPECIALTY ALLOYS,METALS,5,3,83.0,0.7947450811424622,1.3615291348014664,11,1.0,5,0,0
OFFICE EQUIPMENT/SUPPLIES,OFFICE,7,4,79.0,0.8174563342649313,1.2815921382150313,12,1.0,7,0,0
MEDICAL-NURSING HOMES,MEDICAL,4,3,82.0,0.7361457589396262,1.280485473635597,13,1.0,4,0,0
TRANSPORTATION-SHIPPING,TRANSPORTATION,11,11,91.0,0.48283233626304434,1.2682534324020662,14,1.0,11,0,0
OIL&GAS-MACHINERY/EQUIP,ENERGY,6,4,90.5,0.48310622427173877,1.2558246944313722,15,1.0,6,0,0
MINING-IRON/MANGANESE/MISC,MINING,5,5,78.0,0.8115739579656953,1.2506264043885595,16,1.0,5,0,0
BANKS-FOREIGN,BANKS,10,10,86.0,0.5895554917149417,1.2427448589576948,17,0.0,0,0,10
FINANCE-CONSUMER LOANS,FINANCE,7,4,69.5,1.0067956767619848,1.220363736634473,18,0.0,0,0,7
CHEMICALS-SYNTHETIC FIBERS,CHEMICAL,2,1,83.0,0.6203295942816685,1.1958449145157841,19,1.0,2,0,0
MEDICAL-RESEARCH EQUIP/SVCS,MEDICAL,5,3,73.0,0.8762262780018786,1.1851530681351194,20,1.0,5,0,0
MEDICAL-GENERIC DRUGS,MEDICAL,4,3,85.0,0.5427196030968657,1.1728757520498942,21,1.0,4,0,0
INSURANCE-ACC & HEALTH,INSURANCE,7,6,70.5,0.9265579059948564,1.1695205114379013,22,0.0,0,0,7
MEDICAL-MANAGED CARE,MEDICAL,6,6,70.5,0.9265579059948564,1.1695205114379013,22,1.0,6,0,0
TELECOM-FIBER OPTICS,TELECOM,7,4,96.5,0.23059064633011409,1.168217067083679,24,1.0,7,0,0
COMPUTER SFTWR-DATABASE,SOFTWARE,5,3,66.0,1.0335978319593424,1.1570017660274703,25,1.0,5,0,0
STEEL-PRODUCERS,METALS,8,7,78.0,0.691805847384854,1.136853904171799,26,1.0,8,0,0
MEDICAL-SERVICES,MEDICAL,7,6,73.0,0.8174146457655569,1.1292855554148737,27,1.0,7,0,0
CONSUMER PRODUCTS-COSMETICS,CONSUMER,6,5,79.0,0.6443429230102712,1.1171448114268139,28,1.0,6,0,0
REIT-HOTEL/RESORT,FINANCE,6,5,72.0,0.8243041341388243,1.1104523247161024,29,0.0,0,6,0
SAVINGS & LOAN,BANKS,4,2,78.0,0.648222645504748,1.0954524842002906,30,0.0,0,0,4
ELEC-SEMICONDUCTOR MFG,CHIPS,15,15,72.0,0.6703521940971406,0.9642072428924185,31,1.0,15,0,0
INSURANCE-LIFE,INSURANCE,8,7,75.0,0.5863422174936467,0.9605363094853436,32,0.0,0,0,8
OIL&GAS-DRILLING,ENERGY,7,5,92.0,0.021011486361480272,0.8549292367452375,33,1.0,7,0,0
ELECTRONIC-CONTRACT MFG,ELECTRONICS,5,4,70.5,0.5722044019594431,0.8329059992847139,34,1.0,5,0,0
BANKS-SUPER REGIONAL,BANKS,5,4,75.0,0.45024221832475203,0.8312494975798285,35,0.0,0,0,5
HOUSEHOLD-HOUSEWARES,HOUSEHOLD,5,4,64.5,0.7104116469450896,0.8119275867179399,36,1.0,5,0,0
MEDICAL-BIOMED/BIOTECH,MEDICAL,23,17,76.0,0.3715709637647199,0.7818943685438046,37,1.0,23,0,0
OFFICE-AUTOMATION,OFFICE,3,3,55.0,0.9160043259965476,0.7661388771195885,38,1.0,3,0,0
ELECTRONIC-PARTS DISTRIBUTORS,ELECTRONICS,5,4,69.0,0.5367789304340767,0.761187187100985,39,1.0,5,0,0
COMPUTER SFTWR-ENTERPRISE,SOFTWARE,32,26,67.5,0.570514312453108,0.7551670253068372,40,0.96875,31,1,0
INTERNET-SERVICES,INTERNET,10,9,66.0,0.5750769519837802,0.7214345130799751,41,1.0,10,0,0
BANKS-NORTHEAST,BANKS,4,2,69.5,0.4791334088412147,0.7191163244456444,42,0.0,0,0,4
OIL&GAS-INTL E&P,ENERGY,7,5,82.0,0.13884748467706207,0.7130880444832092,43,1.0,7,0,0
COMMERCIAL SVCS-SECURITY/SAFETY,BUSINESS_PRODUCTS,4,4,66.0,0.5382604069524042,0.6864610100561022,44,1.0,4,0,0
METAL ORES-DIVERSIFIED,METALS,8,8,82.0,0.09253614033870664,0.6690950532919724,45,1.0,8,0,0
CONSUMER PRODUCTS-ELECTRONICS,CONSUMER,4,3,71.0,0.3735777300382198,0.6569115247555257,46,1.0,4,0,0
METAL ORES-NON-FERROUS,METALS,5,5,84.0,0.008220474207397207,0.639755903017099,47,1.0,5,0,0
RETAIL-DEPARTMENT STORES,RETAIL,4,3,78.0,0.10917679671971463,0.5833913549872404,48,1.0,4,0,0
RETAIL-CONVENIENCE STORES,RETAIL,3,1,66.0,0.4295996831727167,0.5832398591184883,49,1.0,3,0,0
TRANSPORTATION-AIR FREIGHT,TRANSPORTATION,6,4,69.5,0.33318479722097993,0.5804739231697971,50,1.0,6,0,0
COMPUTER SFTWR-HEALTHCARE,SOFTWARE,7,6,59.0,0.6060032737458947,0.5731678468943109,51,1.0,7,0,0
ELECTRONIC-SCIENTIFIC INSTR,ELECTRONICS,8,7,64.0,0.421990576230507,0.5252560048497331,52,1.0,8,0,0
MEDICAL-OUTPATIENT/HOME CARE,MEDICAL,5,4,59.0,0.5413633441822339,0.5117638023232896,53,1.0,5,0,0
CHEMICALS-FERTILIZERS,CHEMICAL,5,4,80.0,-0.03463995151842339,0.49752975609005773,54,1.0,5,0,0
MEDIA-PERIODICALS,MEDIA,2,1,62.0,0.4300329600705246,0.4821401252845753,55,1.0,2,0,0
TRANSPORTATION-RAIL,TRANSPORTATION,8,7,63.0,0.37420072035628815,0.45448068643596545,56,1.0,8,0,0
MEDICAL-ETHICAL DRUGS,MEDICAL,13,12,63.5,0.3469586226529749,0.44129124751093507,57,1.0,13,0,0
POLLUTION CONTROL,BUSINESS_PRODUCTS,5,3,69.0,0.1989711956360775,0.4402901603871253,58,1.0,5,0,0
MEDICAL-LONG-TERM CARE,MEDICAL,4,2,62.5,0.3676777541289825,0.4355953458162996,59,1.0,4,0,0
RETAIL-HOME FURNISHINGS,RETAIL,9,7,53.0,0.5961851140303506,0.41157420455746596,60,1.0,9,0,0
INTERNET-NETWORK SOLUTIONS,INTERNET,10,9,60.0,0.408580705782304,0.4110061137929457,61,1.0,10,0,0
BANKS-MIDWEST,BANKS,7,5,61.0,0.3817968642111284,0.4109409057291422,62,0.0,0,0,7
MACHINERY-CONSTRUCTION/MINING,MACHINERY,7,6,65.5,0.25922928208355367,0.40870931187469556,63,1.0,7,0,0
BANKS-WEST/SOUTHWEST,BANKS,6,5,61.0,0.37470707038996187,0.40420602809649386,64,0.0,0,0,6
TRANSPORTATION-SVCS/LOGISTICS,TRANSPORTATION,11,11,59.0,0.40977701162947616,0.3867647021765417,65,1.0,11,0,0
METAL ORES-SILVER,METALS,8,7,83.0,-0.23437769990016816,0.38392440127588373,66,1.0,8,0,0
TELECOM-CONSUMER PRODUCTS,TELECOM,4,2,73.0,0.03140381646519179,0.3826225512707889,67,1.0,4,0,0
TRANSPORTATION-TRUCKING,TRANSPORTATION,8,8,63.0,0.2796989743468816,0.3647097126250172,68,1.0,8,0,0
RETAIL-DISCOUNT & VARIETY,RETAIL,8,7,68.0,0.1272584449881347,0.346789531056877,69,1.0,8,0,0
FINANCE-CREDIT CARD/PAYMENT,FINANCE,10,8,57.5,0.3763003992974496,0.3168971889898614,70,0.6,6,2,2
MACHINERY-THERMAL PROCESSING,MACHINERY,5,4,49.0,0.5984858147242428,0.3122484109920802,71,1.0,5,0,0
AEROSPACE-DEFENSE EQUIPMENT,AEROSPACE,7,5,64.0,0.19501447861948096,0.3096423662157711,72,0.0,0,7,0
COMPUTER SFTWR-FINANCIAL,SOFTWARE,10,10,63.0,0.21756518581963508,0.305686351277818,73,1.0,10,0,0
