group,sector,n_stocks,n_with_data,median_rs_rating,price_trend_annualised,composite_score,rank,pct_halal,n_halal,n_questionable,n_haram
RETAIL-CONSUMER ELECTRONICS,RETAIL,3,2,,0.3198920577471622,0.15358441743287862,53,1.0,3,0,0
TELECOM-WIRELESS EQUIPMENT,TELECOM,7,5,,0.3157539887362531,0.15035837709348177,54,1.0,7,0,0
REIT-RETAIL,FINANCE,9,8,,0.31281041973168827,0.14806356946086613,55,0.0,0,9,0
OIL&GAS-MACHINERY/EQUIP,ENERGY,6,4,,0.31213548892531634,0.14753739312066555,56,1.0,6,0,0
CHEMICALS-SYNTHETIC FIBERS,CHEMICAL,2,2,,0.3026992192746258,0.14018087333660656,57,1.0,2,0,0
BANKS-NORTHEAST,BANKS,4,4,,0.29750004611829384,0.13612759575964525,58,0.0,0,0,4
TRANSPORTATION-RAIL,TRANSPORTATION,8,8,,0.2827858603314742,0.12465641033849349,59,1.0,8,0,0
COMPUTER SFTWR-DATABASE,SOFTWARE,5,4,,0.26842292793968087,0.1134590622116734,60,1.0,5,0,0
BANKS-SUPER REGIONAL,BANKS,5,5,,0.26322979498302224,0.10941049357691504,61,0.0,0,0,5
RETAIL-SUPER/MINI MARKETS,RETAIL,6,4,,0.25887604314585666,0.10601630681555559,62,1.0,6,0,0
FINANCE-INVESTMENT BANKS/BROKERS,FINANCE,10,10,,0.24640820016201334,0.09629637118734127,63,0.0,0,0,10
TRANSPORTATION-AIR FREIGHT,TRANSPORTATION,6,3,,0.2378871191240196,0.08965333283023122,64,1.0,6,0,0
ENERGY-SOLAR,ENERGY,10,7,,0.23338771307275816,0.08614559398237015,65,1.0,10,0,0
BANKS-FOREIGN,BANKS,10,10,,0.22921948381716117,0.08289604070354363,66,0.0,0,0,10
CONSUMER PRODUCTS-ELECTRONICS,CONSUMER,4,3,,0.2178461379199531,0.07402937546389203,67,1.0,4,0,0
REIT-RESIDENTIAL/COMMERCIAL,FINANCE,9,9,,0.2060028842534657,0.06479636992989184,68,0.0,0,9,0
REIT-INDUSTRIAL/OFFICE,FINANCE,12,10,,0.2003742473809804,0.06040828225939041,69,0.0,0,12,0
MEDICAL-NURSING HOMES,MEDICAL,4,3,,0.19335554070210254,0.05493649558382701,70,1.0,4,0,0
BUILDING-A/C & HEATING,BUILDING,5,5,,0.18333003357359481,0.04712060601451036,71,1.0,5,0,0
TOBACCO,ALCOHOL_TOBACCO,4,3,,0.17848468518914154,0.04334317037835511,72,0.0,0,0,4
ELECTRONIC-MEASURING INSTR,ELECTRONICS,7,7,,0.16407025320411925,0.0321056731470176,73,1.0,7,0,0
TRANSPORTATION-AIRLINE,TRANSPORTATION,11,8,,0.15338487502191414,0.0237753478270124,74,1.0,11,0,0
APPAREL-SHOES & RELATED,APPAREL,8,6,,0.14831303878622196,0.019821342166878853,75,1.0,8,0,0
BANKS-WEST/SOUTHWEST,BANKS,6,6,,0.142013744877399,0.014910409989091095,76,0.0,0,0,6
LEISURE-GAMING/EQUIPMENT,LEISURE,12,10,,0.13311526444289476,0.007973150903907805,77,0.0,0,0,12
UTILITY-ELECTRIC POWER,UTILITY,19,16,,0.13037540297617398,0.005837153753377318,78,1.0,19,0,0
HOUSEHOLD-HOUSEWARES,HOUSEHOLD,5,5,,0.12737179185278877,0.00349553725970432,79,1.0,5,0,0
MEDICAL-GENERIC DRUGS,MEDICAL,4,4,,0.12418354215414773,0.0010099764551912249,80,1.0,4,0,0
APPAREL-CLOTHING MFG,APPAREL,10,8,,0.12410307939271292,0.0009472476525725055,81,1.0,10,0,0
UTILITY-DIVERSIFIED,UTILITY,12,12,,0.11977555409895643,-0.002426492884526874,82,1.0,12,0,0
MEDICAL-ETHICAL DRUGS,MEDICAL,13,13,,0.11734048081246551,-0.004324877041702067,83,1.0,13,0,0
COMMERCIAL SVCS-SCHOOLS,BUSINESS_PRODUCTS,4,4,,0.10580066805844512,-0.013321319912860875,84,1.0,4,0,0
BANKS-SOUTHEAST,BANKS,5,3,,0.10528593592967263,-0.013722605296701995,85,0.0,0,0,5
BANKS-MIDWEST,BANKS,7,6,,0.10040888445420025,-0.017524756675934894,86,0.0,0,0,7
POLLUTION CONTROL,BUSINESS_PRODUCTS,5,3,,0.09328154703545477,-0.02308123192193722,87,1.0,5,0,0
MACHINERY-TOOLS & RELATED,MACHINERY,6,6,,0.08336476132252699,-0.030812362229991532,88,1.0,6,0,0
CONSUMER SVCS-EDUCATION,CONSUMER,4,4,,0.08315590616996067,-0.030975185794676792,89,1.0,4,0,0
CHEMICALS-AGRICULTURAL,CHEMICAL,4,4,,0.08293128839846481,-0.031150297903701742,90,1.0,4,0,0
RETAIL-APPAREL/SHOES/ACC,RETAIL,15,9,,0.0687698604019559,-0.042190553119301775,91,1.0,15,0,0
COMMERCIAL SVCS-SECURITY/SAFETY,BUSINESS_PRODUCTS,4,4,,0.068636355954446,-0.04229463324266859,92,1.0,4,0,0
MEDICAL-RESEARCH EQUIP/SVCS,MEDICAL,5,4,,0.06646755605925508,-0.0439854305521191,93,1.0,5,0,0
UTILITY-WATER SUPPLY,UTILITY,9,8,,0.058915787895593916,-0.04987279218517021,94,1.0,9,0,0
INTERNET-CONTENT,INTERNET,10,10,,0.05692886618659857,-0.051421797184251695,95,0.0,0,10,0
COMPUTER SFTWR-GAMING,SOFTWARE,8,4,,0.05330006607585137,-0.0542508112751275,96,0.0,0,8,0
FOOD-DAIRY PRODUCTS,FOOD_BEVERAGE,3,3,,0.05311370964498459,-0.054396094826923605,97,1.0,3,0,0
CHEMICALS-SPECIALTY,CHEMICAL,8,7,,0.05010918789944435,-0.05673842124201123,98,1.0,8,0,0
OFFICE-AUTOMATION,OFFICE,3,3,,0.04480043050036922,-0.06087713074065382,99,1.0,3,0,0
RETAIL/WHLSL-FOOD,RETAIL,7,5,,0.04431861461424695,-0.061252754607896004,100,1.0,7,0,0
MEDIA-NEWSPAPERS,MEDIA,4,2,,0.03943295762352828,-0.06506161485043026,101,1.0,4,0,0
MACHINERY-GENERAL INDUSTRIAL,MACHINERY,11,10,,0.02900702311054897,-0.07318967777690916,102,1.0,11,0,0
COMMERCIAL SVCS-HEALTHCARE,BUSINESS_PRODUCTS,5,5,,0.024674931670282917,-0.07656697808374574,103,1.0,5,0,0
INTERNET-SERVICES,INTERNET,10,10,,0.02213995018442114,-0.07854325071512404,104,1.0,10,0,0
FINANCE-CREDIT CARD/PAYMENT,FINANCE,10,9,,0.010965370175695313,-0.08725495798460904,105,0.6,6,2,2
OIL&GAS-FIELD SERVICES,ENERGY,7,5,,0.008188021391882272,-0.08942018026329389,106,1.0,7,0,0
