group,sector,n_stocks,n_with_data,median_rs_rating,price_trend_annualised,composite_score,rank,pct_halal,n_halal,n_questionable,n_haram
ELEC-SEMICONDUCTOR MEMORY,CHIPS,5,4,98.5,2.172125325252421,2.8755573534495245,1,1.0,5,0,0
COMPUTER-DATA STORAGE,COMPUTER,4,3,98.0,2.0285385160108897,2.7451044753172416,2,1.0,4,0,0
STEEL-PIPE & TUBE,METALS,3,1,97.0,1.6616088869874779,2.4187660991018265,3,1.0,3,0,0
TELECOM-FIBER OPTICS,TELECOM,7,5,97.0,1.045580039322305,1.9133699390513832,4,1.0,7,0,0
STEEL-SPECIALTY ALLOYS,METALS,5,3,93.0,1.0228599317673104,1.7935074217016767,5,1.0,5,0,0
OIL&GAS-REFINING/MARKETING,ENERGY,8,5,97.0,0.8251430366486011,1.732521241613642,6,1.0,8,0,0
ELEC-SEMICONDUCTOR EQUIPMENT,CHIPS,10,10,93.5,0.9214183155189101,1.7229365558726606,7,1.0,10,0,0
COMPUTER SFTWR-SECURITY,SOFTWARE,14,11,84.0,1.1474307033906865,1.6679554030814039,8,1.0,14,0,0
ELECTRONIC-CONTRACT MFG,ELECTRONICS,5,5,88.0,0.9923330873221025,1.6419345010930706,9,1.0,5,0,0
COMPUTER-NETWORKING,COMPUTER,7,5,92.0,0.792411203154833,1.5791393261790319,10,1.0,7,0,0
RETAIL/WHLSL-OFFICE SUPPLIES,RETAIL,3,1,87.0,0.8848655672490165,1.5284614055200934,11,1.0,3,0,0
REIT-HOTEL/RESORT,FINANCE,6,6,88.5,0.7821079680856353,1.482116573384759,12,0.0,0,6,0
MEDICAL-SERVICES,MEDICAL,7,6,86.5,0.7741500207262704,1.4249764364671478,13,1.0,7,0,0
COMPUTER-HARDWARE/PERIPHERAL,COMPUTER,10,8,74.5,1.1346640892426176,1.4170775951596417,14,1.0,10,0,0
RETAIL-CONVENIENCE STORES,RETAIL,3,2,86.0,0.7523977039045581,1.3944777810373366,15,1.0,3,0,0
TRANSPORTATION-SHIPPING,TRANSPORTATION,11,11,89.0,0.5070159429670608,1.269081194462232,16,1.0,11,0,0
INTERNET-NETWORK SOLUTIONS,INTERNET,10,10,85.0,0.625902663848007,1.2653943198599333,17,1.0,10,0,0
