group,sector,n_stocks,n_with_data,median_rs_rating,price_trend_annualised,composite_score,rank,pct_halal,n_halal,n_questionable,n_haram
ELEC-SEMICONDUCTOR MEMORY,CHIPS,5,4,97.5,1.4493877140920477,2.338254430037413,1,1.0,5,0,0
COMPUTER SFTWR-SECURITY,SOFTWARE,14,13,91.0,1.5211869717645758,2.247334037805151,2,1.0,14,0,0
COMPUTER-DATA STORAGE,COMPUTER,4,3,97.0,1.1895843477291115,2.0792734513230506,3,1.0,4,0,0
COMMERCIAL SVCS-STAFFING,BUSINESS_PRODUCTS,6,4,90.0,1.2424659757235312,1.958147286894825,4,1.0,6,0,0
OIL&GAS-REFINING/MARKETING,ENERGY,8,7,97.0,1.0395341772880038,1.936767053048007,5,1.0,8,0,0
COMPUTER-HARDWARE/PERIPHERAL,COMPUTER,10,9,88.0,1.0261602171817994,1.7037593948208192,6,1.0,10,0,0
COMMERCIAL SVCS-HEALTHCARE,BUSINESS_PRODUCTS,5,5,91.0,0.9157329404221926,1.672319207271704,7,1.0,5,0,0
RETAIL/WHLSL-OFFICE SUPPLIES,RETAIL,3,1,85.0,1.0439521086775678,1.6472214410058639,8,1.0,3,0,0
MEDICAL-RESEARCH EQUIP/SVCS,MEDICAL,5,5,84.0,0.9135939340681053,1.498938570830791,9,1.0,5,0,0
TRANSPORTATION-SHIPPING,TRANSPORTATION,11,10,94.0,0.6182863928921579,1.46326214259962,10,1.0,11,0,0
STEEL-PIPE & TUBE,METALS,3,1,85.0,0.8244875911620843,1.4387905018848932,11,1.0,3,0,0
OFFICE EQUIPMENT/SUPPLIES,OFFICE,7,4,81.0,0.9196726508335183,1.431276322133116,12,1.0,7,0,0
ELEC-SEMICONDUCTOR EQUIPMENT,CHIPS,10,10,91.0,0.5276131983141603,1.3037121848027589,13,1.0,10,0,0
MEDICAL-GENERIC DRUGS,MEDICAL,4,4,88.0,0.5660177556431486,1.2667505950672573,14,1.0,4,0,0
MEDICAL-SERVICES,MEDICAL,7,6,79.0,0.7876284266819307,1.2569137158936305,15,1.0,7,0,0
OFFICE-AUTOMATION,OFFICE,3,3,69.0,1.0080520319877082,1.221470998054217,16,1.0,3,0,0
COMPUTER SFTWR-ENTERPRISE,SOFTWARE,32,27,77.0,0.7938321194283252,1.2138486126709207,17,0.96875,31,1,0
CHEMICALS-SYNTHETIC FIBERS,CHEMICAL,2,2,82.0,0.6501542442634956,1.1997864058401309,18,1.0,2,0,0
OIL&GAS-MACHINERY/EQUIP,ENERGY,6,4,88.5,0.4711628881323163,1.1889037822545494,19,1.0,6,0,0
INSURANCE-ACC & HEALTH,INSURANCE,7,6,73.5,0.8050996029539044,1.1388750391591806,20,0.0,0,0,7
MEDICAL-MANAGED CARE,MEDICAL,6,6,73.5,0.8050996029539044,1.1388750391591806,20,1.0,6,0,0
CONSUMER PRODUCTS-COSMETICS,CONSUMER,6,5,74.0,0.7810148796752785,1.1282404016495013,22,1.0,6,0,0
STEEL-PRODUCERS,METALS,8,7,80.0,0.5943109704834746,1.097793747269911,23,1.0,8,0,0
MINING-IRON/MANGANESE/MISC,MINING,5,5,75.0,0.7183342583211295,1.0931895011313766,24,1.0,5,0,0
BANKS-FOREIGN,BANKS,10,9,80.0,0.5797327000556664,1.0839483993730092,25,0.0,0,0,10
